Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
1963-07-01,-0.8182,-0.4613,-0.4156,-0.8456,0.3816,0.1095
1963-08-01,4.8507,4.2202,5.2868,5.5121,4.9791,5.7862
1963-09-01,-1.0166,-1.4324,-2.6991,-1.7189,-0.8015,-1.45
1963-10-01,1.3664,1.5104,1.6166,0.8173,1.4846,6.1639
1963-11-01,-1.2569,-1.1001,-2.3721,-1.4554,0.2942,-1.3506
1963-12-01,-0.1394,0.3376,0.3331,2.4624,2.4511,2.0475
1964-01-01,2.8722,3.1158,2.7524,2.1901,2.8791,2.6457
1964-02-01,2.7937,1.3474,2.6848,2.1382,1.3266,2.1432
1964-03-01,5.1411,3.1391,2.1695,3.2714,1.1,1.8208
1964-04-01,-1.2537,-0.9884,-1.2668,2.2184,0.9878,-0.3168
1964-05-01,1.8995,0.5001,1.3641,1.8294,1.1603,2.0391
1964-06-01,1.351,2.2435,2.1007,1.8066,2.5309,0.4975
1964-07-01,2.8436,2.8022,2.2357,1.7431,1.5851,2.5038
1964-08-01,-0.7235,-0.7455,-0.3781,-1.1383,-1.0721,-1.2473
1964-09-01,3.1163,2.6632,3.1459,4.5036,2.2048,3.3538
1964-10-01,1.4289,2.1636,2.509,1.9668,1.2125,0.0251
1964-11-01,-0.6344,0.0367,0.8118,0.6147,0.3978,0.4262
1964-12-01,-0.6052,-0.7084,-0.2565,-0.7559,0.4462,1.0358
1965-01-01,6.2116,5.9728,6.9182,4.2042,1.834,5.3104
1965-02-01,3.6435,4.1618,3.9937,0.8151,0.0299,0.9335
1965-03-01,1.1224,1.0753,0.7153,-1.0352,-1.3595,-1.2688
1965-04-01,4.7781,4.3503,4.0055,3.0339,2.6775,4.4035
1965-05-01,-0.324,0.2317,0.2669,0.6995,0.1127,-0.7865
1965-06-01,-9.5745,-8.973,-9.5604,-5.7138,-3.8223,-5.2865
1965-07-01,2.8191,3.9298,2.0736,3.649,0.7899,1.652
1965-08-01,4.9563,4.6629,6.1952,1.7118,1.9514,4.2692
1965-09-01,4.909,4.3859,3.1507,3.9653,2.4799,3.9485
1965-10-01,6.8061,5.7328,6.8631,2.265,1.1279,4.5402
1965-11-01,6.5577,4.0808,4.6394,0.6655,-1.0275,0.5709
1965-12-01,5.0539,3.4544,3.9607,1.73,1.1129,0.5371
1966-01-01,7.6528,5.3797,4.0856,3.2251,-0.9782,1.1506
1966-02-01,4.8632,2.1992,2.9811,-1.9921,-1.9284,-0.4522
1966-03-01,-2.4865,-1.5147,-2.188,-3.2641,-2.6194,-0.9538
1966-04-01,5.7784,4.5208,6.1361,1.837,2.1722,2.2666
1966-05-01,-11.4132,-9.3222,-9.4324,-6.0374,-4.2175,-4.7387
1966-06-01,-0.2114,1.0944,0.4475,-1.2855,-0.7882,-1.6364
1966-07-01,-1.7679,-0.9652,-2.1101,-0.9265,-1.2022,-1.3023
1966-08-01,-10.7403,-9.8296,-10.3221,-7.4928,-6.1374,-8.0817
1966-09-01,-1.7476,-1.6499,-1.53,1.9621,-0.3337,-1.6117
1966-10-01,-0.8492,-0.3405,-2.5596,7.4199,6.6267,2.1768
1966-11-01,2.9833,3.1783,7.5415,0.8865,-1.3602,4.5951
1966-12-01,1.5161,2.2689,3.0037,-0.0467,0.8509,-0.1319
1967-01-01,17.491,14.8565,18.9246,7.9573,6.59,8.4379
1967-02-01,3.3873,2.6646,4.2685,-0.7067,-0.1925,2.3859
1967-03-01,5.9219,6.6169,6.4187,3.6936,3.7574,4.914
1967-04-01,4.0644,3.9483,5.3229,3.095,2.4865,6.5019
1967-05-01,-1.0195,-1.3377,-2.1952,-3.0362,-4.0087,-5.328
1967-06-01,9.6016,7.4997,8.8093,2.2739,1.6886,1.8288
1967-07-01,9.2371,7.6297,7.7058,2.6513,5.0613,5.1456
1967-08-01,-0.5607,0.4503,0.3634,-0.5508,-0.7947,-0.8824
1967-09-01,6.221,4.7026,5.9459,3.7261,1.758,4.4052
1967-10-01,-2.1006,-2.1947,-2.8617,-3.4843,-4.0345,-0.7108
1967-11-01,-0.507,0.2073,1.646,0.0135,1.3017,0.5452
1967-12-01,10.1742,6.7453,8.657,2.3621,3.4285,2.2503
1968-01-01,2.9461,-0.1534,-0.406,-0.9376,-3.1466,-6.8213
1968-02-01,-5.9882,-4.9371,-6.332,-2.9683,-2.7371,-2.9394
1968-03-01,-0.2643,-1.9391,-0.9386,-0.2585,-0.7442,2.5144
1968-04-01,16.0024,11.6915,16.8045,6.2875,7.3012,10.8723
1968-05-01,9.4858,8.2333,8.9319,1.1145,0.8323,2.5365
1968-06-01,0.4918,1.2984,0.652,2.4992,2.2526,-0.486
1968-07-01,-2.3978,-3.0486,-4.7351,-0.3609,-0.2654,-4.2916
1968-08-01,4.2007,3.0671,4.2368,2.5001,1.3537,1.0637
1968-09-01,8.3347,5.7266,7.5312,6.3022,3.7134,3.1258
1968-10-01,0.3298,1.1499,0.7465,2.293,1.8396,-0.7571
1968-11-01,7.732,7.7652,7.8609,5.143,5.4759,5.8829
1968-12-01,1.5561,-1.327,-0.7596,-3.316,-3.7291,-4.729
1969-01-01,-0.7597,-0.8084,-2.2233,-0.3487,0.2002,-1.9833
1969-02-01,-10.6818,-7.6642,-8.4765,-5.837,-4.6556,-3.9048
1969-03-01,3.826,2.3558,2.5674,4.864,2.7348,3.2725
1969-04-01,1.8784,1.0912,0.5868,0.7705,2.2676,2.8725
1969-05-01,0.504,0.5749,-0.5857,0.5967,0.8137,-0.2114
1969-06-01,-12.6853,-10.9501,-10.7659,-9.6908,-6.4038,-2.9625
1969-07-01,-10.3218,-8.6737,-10.1704,-7.9078,-5.9811,-5.1023
1969-08-01,5.2129,4.6643,7.496,5.4928,4.3247,5.4789
1969-09-01,-2.1793,-1.8347,-0.2506,-5.5601,-3.0024,-0.7178
1969-10-01,9.9548,8.7436,9.4069,5.1483,4.6797,5.7866
1969-11-01,-5.5487,-5.6369,-5.041,-4.7477,-2.8925,-2.343
1969-12-01,-7.1503,-5.5123,-3.1498,-1.6814,-2.1315,-0.5983
1970-01-01,-2.5086,-5.4018,-6.471,-8.5528,-7.1624,-8.0231
1970-02-01,3.0771,3.9155,3.1004,8.8031,6.9487,4.1988
1970-03-01,-2.7481,-1.479,-4.0219,-0.1932,0.8666,-0.9172
1970-04-01,-17.0386,-14.5664,-17.5565,-9.0387,-9.3362,-9.7975
1970-05-01,-10.8505,-9.6092,-10.0646,-4.1504,-4.6846,-7.3474
1970-06-01,-8.1854,-6.9265,-6.812,-3.9914,-5.0776,-5.1124
1970-07-01,5.4608,6.9849,8.4096,8.5383,9.4407,5.0788
1970-08-01,6.3246,6.4707,6.9946,4.8096,4.5487,5.2648
1970-09-01,14.0669,11.3691,13.2037,3.9374,2.1179,5.405
1970-10-01,-7.8118,-5.1416,-5.3542,-1.7997,-1.4919,-0.8336
1970-11-01,-0.3179,2.059,2.4516,5.0099,5.7448,5.3725
1970-12-01,8.1457,9.0719,9.1304,6.0963,6.2321,5.6466
1971-01-01,13.8562,11.8428,10.4257,4.527,4.5339,3.9683
1971-02-01,3.8686,3.0825,4.7754,1.6906,0.8842,2.0164
1971-03-01,5.5839,5.8492,7.7519,3.6728,3.3693,5.1365
1971-04-01,4.5493,3.2415,2.6503,4.6944,2.8388,3.6526
1971-05-01,-5.3074,-4.9441,-4.0083,-5.0061,-3.0574,-3.5113
1971-06-01,-2.4274,-1.4862,0.5337,-0.1343,1.0755,-0.0376
1971-07-01,-6.5324,-4.9431,-5.5362,-4.4751,-3.7243,-4.1925
1971-08-01,5.0711,4.3453,4.7611,5.3349,3.376,4.7874
1971-09-01,-2.3136,0.207,0.9026,-1.6024,-0.8066,0.2955
1971-10-01,-7.3127,-3.9897,-5.486,-4.6252,-4.0787,-3.2143
1971-11-01,-4.0037,-2.6088,-2.4038,-1.9408,-0.1147,1.3312
1971-12-01,12.4495,11.6676,12.5713,10.2405,8.0027,9.3144
1972-01-01,11.8256,6.7295,7.5767,2.659,0.4858,3.5333
1972-02-01,3.8002,3.0306,4.1338,1.7203,2.1377,4.6097
1972-03-01,0.22,-0.1719,1.0161,-0.747,0.5959,1.7225
1972-04-01,0.6243,0.9598,0.6138,1.6778,-0.136,0.8475
1972-05-01,-2.8316,-1.3523,-1.4336,0.2266,0.8987,3.5084
